id;title;Type;Description
NBI-2219;Sales funnel analytics;New Feature;Many users have asked for a better way to analyze their sales funnel. We will create tools to visualize performance, identify bottlenecks, and provide actionable insights, helping teams optimize their conversion processes.
NBI-2253;Multi-Currency support in Point of Sale;New Feature;As a retail manager, I want the Point of Sale system to support multi-currency transactions, so that customers can pay in their preferred currency, and the system can handle conversions automatically while maintaining accurate records.
NBI-2287;Qr Code Check-In System;New Feature;Add a QR code-based check-in system for employees. Each employee should receive a unique QR code to scan at designated entry points, and the system should automatically log their attendance.
NBI-2303;Enhanced activity recurrence settings;Improvement;Extend recurrence settings to support complex patterns, such as custom intervals and exclusions for holidays or weekends.
NBI-2361;Notifications Missing for Overdue Tasks;Bug;Summary: Notifications for overdue tasks are not being triggered.  Steps to Reproduce:  1. Create a task with a specific due date.  2. Allow the due date to pass without completing the task.  3. Check the notification center for alerts.  Actual Result: No notifications are sent for the overdue task.  Expected Result: Notifications should be triggered immediately after a task becomes overdue.
NBI-2386;comprehensive API guide update;Documentation;Update the API guide to include newly added endpoints, detailed usage examples, and best practices for integration.
NBI-2391;Customizable Lead Qualification Templates;New Feature;Allow users to create and save custom lead qualification templates, standardizing the process across teams.
NBI-2415;Opportunity tags cloud view;New Feature;Introduce a tag cloud visualization for opportunities, allowing users to see frequently used tags at a glance and identify trends in how opportunities are categorized.
NBI-2427;Calendar sync error with google calendar;Bug;Some users have reported errors syncing activities to Google Calendar, with events not appearing or showing incorrect times.
NBI-2439;missing email attachments in CRM;Bug;Attachments sent through email campaigns were not being saved correctly in the CRM’s activity logs. This caused incomplete records for customer interactions. Fixing this ensures that all email attachments are properly logged and accessible in the CRM.
NBI-2443;Customer Anniversary Notifications;New Feature;Users have suggested the system should send automatic notifications for customer anniversaries (e.g., sign-up date or first purchase). This feature can help businesses maintain strong customer relationships.
NBI-2456;Multi-Language Product Descriptions;New Feature;Enable support for creating and managing product descriptions in multiple languages. The system should provide language-specific fields and display the appropriate description based on the user’s preferences or location.
NBI-2461;Duplicate tasks created when syncing projects;Bug;Summary: Syncing linked projects creates duplicate tasks.  Steps to Reproduce:  1. Link Project A with Project B using the sync feature.  2. Create a task in Project A and sync the changes with Project B.  3. Check the task list in Project B.  Actual Result: The task appears twice in Project B, creating duplicates.  Expected Result: Tasks should sync without creating duplicates, and existing tasks should only update as needed.
NBI-2585;Improved Search in Event Listings;Improvement;Enhance the search functionality in event listings to include filters like event type, location, and date. Users should also be able to save their search preferences for future use.
NBI-2587;Integration with ERP Systems;New Feature;Enable seamless integration with popular ERP systems to sync financial data, such as invoices, payments, and purchase orders, with CRM records.
NBI-2648;Custom dashboards for managers;New Feature;Provide the ability to create custom dashboards specifically for managers, with metrics like team performance, pipeline health, and deal closure rates
NBI-2685;Webhook Retry Count Ignored;Bug;Webhook retry settings are being ignored, leading to inconsistent numbers of retries for failed deliveries. Developers have reported missed retries for critical events. Fixing this issue will ensure more reliable event delivery across integrations.
NBI-2728;Better User Activity Logs;Improvement;Improve user activity logs by adding timestamps, IP addresses, and descriptions of the actions performed, helping administrators track changes and troubleshoot issues.
NBI-2735;Flexible subscription billing cycles;New Feature;Implement a feature for defining flexible subscription billing cycles, such as quarterly, bi-annual, or custom durations. The system should support prorated charges and discounts for mid-cycle changes. Businesses can better tailor billing to customer needs.
NBI-2735;Employee Birthdays Missing from Dashboard;Bug;Summary: Employee birthdays are not displayed in the dashboard widget.  Steps to Reproduce:  1. Navigate to the Employee Management module.  2. Add or verify employee birthdates in their profiles.  3. Check the dashboard for upcoming birthdays.  Actual Result: The birthdays do not appear in the widget.  Expected Result: Upcoming employee birthdays should be visible in the dashboard widget.
NBI-2747;Automated lead scoring;New Feature;Customers have asked for a way to prioritize leads more effectively. We plan to implement a scoring system that evaluates leads based on predefined criteria, making it easier for sales teams to identify high-potential opportunities and focus their efforts.
NBI-2795;File metadata not updating properly;Bug;Edits to metadata fields, such as tags and expiration dates, are not being saved consistently. Users have noted this issue particularly when editing metadata for multiple files simultaneously. Fixing this ensures accurate and reliable updates to file information.
NBI-2801;Pipeline sorting improvements;Improvement;Allow users to sort pipelines by multiple criteria, such as stage, value, or last activity date, and save their preferences for future sessions.
NBI-2808;Duplicate entries in attendance logs;Bug;Attendance logs are showing duplicate entries for employees who check in multiple times within a short interval. The issue occurs when data is synced from biometric devices.
NBI-2810;Session management errors for idle users;Bug;Idle user sessions are not being terminated as per the configured timeout rules, leading to potential security risks. This issue has been reported across multiple regions. A resolution is necessary to enforce proper session timeout policies.
NBI-2817;Enhanced activity logging;Improvement;Improve the activity log by adding more detailed metadata, such as participant names, locations, and attachments, for better record-keeping.
NBI-2846;Incorrect Reporting Lines After Department Changes;Bug;Employees are showing incorrect reporting lines in the system after department reassignments. The issue appears to occur when changes are made in bulk.
NBI-2881;Profile Picture Upload Settings;New Feature;Add an option in the preferences section to allow users to upload or update their profile pictures. The system should include basic validation for image formats and file sizes. Administrators should be able to enforce default images if needed.
NBI-2914;Resource Allocation by Role;New Feature;Develop a tool to allocate resources based on roles, such as assigning a designer or developer to a specific task. The system should allow users to set role requirements and track fulfillment.
NBI-2955;Integration with proposal tools;New Feature;Enable integration with proposal creation platforms, allowing users to generate, track, and send proposals directly from the CRM.
NBI-2984;Inconsistent date formats in API responses;Bug;Date formats in API responses are inconsistent, with some endpoints returning ISO 8601 while others use custom formats. This inconsistency is causing parsing issues for integrations. Standardizing date formats will ensure compatibility across all API consumers.
NBI-2988;Project timeline not displaying all tasks;Bug;Tasks added to projects are not appearing in the timeline view for certain users. The issue seems to involve permissions settings or task categories.
NBI-2994;Advanced font size adjustments;New Feature;Include a setting for users to fine-tune font sizes across all modules for improved readability. Administrators should be able to define minimum and maximum font sizes to ensure consistency. The preferences should integrate seamlessly with accessibility features.
NBI-3019;Recurring Calendar Events;New Feature;Implement recurring event functionality in the calendar module, allowing users to set repeating schedules with options for weekly, monthly, or custom intervals. Changes to a series should prompt users to choose between applying updates to one event or all future occurrences.
NBI-3035;Lead behavior analytics;New Feature;Build tools to analyze lead behavior, such as page visits, email interactions, and call responses, to improve lead nurturing strategies.
NBI-3037;Unified preferences management project;Epic;Redesign the preferences menu to unify all user and administrator settings under a single, easy-to-navigate structure. Include tasks like improving search functionality, adding logical grouping, and enhancing save mechanisms. The project ensures a consistent and efficient settings experience.
NBI-3088;Event subscription API;New Feature;Add an event subscription API that allows developers to subscribe to specific system events, such as record creation or updates. This should include granular filtering options to minimize unnecessary webhook traffic. It will enable more efficient real-time integrations.
NBI-3100;AI-driven task prioritization;New Feature;Add a feature that uses AI to prioritize tasks for users based on deadlines, importance, and historical completion trends.
NBI-3128;Role-based notification preferences;New Feature;Introduce options for setting notification preferences based on user roles. Users should have options to enable or disable specific alerts from their profile settings. Administrators should also have access to configure these at a global level.
NBI-3131;Review of battery usage patterns;Investigation;Analyze the app’s battery consumption across devices, focusing on modules that perform frequent background tasks. The investigation should identify specific workflows or features contributing to excessive drain. Recommendations should include optimizations for energy efficiency.
NBI-3140;Delayed Transaction Logs Replication;Bug;Transaction logs are being replicated with significant delays, leading to outdated data on replicas. This issue is reducing consistency for distributed applications. Resolving this will ensure real-time data availability across all database nodes.
NBI-3153;automatic currency conversion for purchases;New Feature;Add automatic currency conversion for international purchase orders based on real-time exchange rates. The system should also allow users to override rates with manually entered values when necessary.
NBI-3159;Interview Feedback Not Displaying Correctly;Bug;Feedback entered by interviewers is not appearing in the candidate’s profile consistently. This issue has been reported for feedback submitted via mobile devices. Fixing this ensures that all feedback is visible to the recruiting team.
NBI-3235;Vendor payment terms missing in reports;Bug;Payment terms for vendors are not appearing in purchase reports, even when configured in the vendor profile. Fixing this ensures complete and accurate reporting of vendor-related payment details.
NBI-3263;Inconsistent data in Financial Reports;Bug;Generating financial reports, such as Profit and Loss or Balance Sheet, occasionally displays incorrect totals for key fields like revenue or expenses. The issue seems to occur after bulk journal entry imports, where some transactions are either duplicated or omitted in the report calculations.
NBI-3305;File Preview Not Loading for PDFs;Bug;Users reported that the preview function fails to load certain PDF files, especially those with large file sizes or non-standard formatting. The issue needs investigation to identify the unsupported formats and ensure compatibility.
NBI-3307;Customizable User Roles;Improvement;Enhance role management by allowing admins to create custom user roles with tailored permissions. This will ensure businesses can better control access and align roles with their organizational structures.
NBI-3413;Recurring Task scheduling;New Feature;Introduce a feature for scheduling recurring tasks, allowing users to define intervals such as daily, weekly, or monthly. Each recurrence should be linked to the original task for easy tracking.
NBI-3449;Session Timeout Causing Repeated Login Prompts;Bug;After implementing a feature to enhance session security with shorter timeout durations, users are being logged out unexpectedly during active sessions. This issue appears to occur even when users are actively interacting with the application, suggesting that the session tracking mechanism may not be properly recognizing user activity.
NBI-3460;Improved reporting on time-to-hire;Improvement;Add detailed reporting on time-to-hire metrics, including breakdowns by role, department, and stage of the hiring process. Recruiters should be able to export these reports for further analysis.
NBI-3570;Warehouse location mapping;New Feature;Add a mapping tool to visualize warehouse locations and inventory distribution. Users should be able to view stock levels by location and navigate to specific zones for picking or replenishment.
NBI-3576;Subscription Discount Code Management Guide;Documentation;Create a guide for managing subscription discount codes, including instructions for creating, tracking, and applying codes. Include best practices for configuring usage limits and expiration dates.
NBI-3648;Activity logs missing older records;Bug;Activity logs for records older than six months are not appearing in the system, creating gaps in historical data. This issue is impacting users needing to reference past interactions. Addressing this will ensure activity logs are complete and reliable.
NBI-3654;Error When Exporting Ticket Reports;Bug;Exported ticket reports are missing data for certain columns, such as ticket creation date and assigned agent. Users reported this issue across multiple export formats, including CSV and Excel.
NBI-3657;Faster payment processing for renewals;Improvement;Optimize the payment processing workflow to reduce delays during subscription renewals. The system should support batch processing for high-volume renewals and include real-time status updates for customers.
NBI-3700;Bulk metadata editing tool;New Feature;Add a bulk metadata editing tool for documents, allowing users to update fields like tags, categories, and expiration dates for multiple files at once. The interface should provide a confirmation dialog showing the changes before they are applied.
NBI-3739;Advanced Filtering for Reports;Improvement;Add advanced filters to reports, such as date ranges, tags, and team assignments, allowing users to generate more specific and actionable insights.
NBI-3741;Dynamic lead assignment rules;New Feature;Enable users to set dynamic lead assignment rules based on multiple criteria like geography, lead source, and workload balance.
NBI-3785;Inconsistent error codes across apis;Bug;Different API endpoints are returning inconsistent error codes for similar issues, making it difficult for developers to handle errors programmatically. Standardizing error codes will improve the developer experience. Consistency is critical for maintaining trust in API documentation.
NBI-3854;Mobile App Push Notifications Improvements;Improvement;Refine push notifications in the mobile app to include actionable shortcuts, such as “Mark as Complete” or “View Record.”
NBI-3877;Review of employee turnover patterns;Investigation;Conduct an analysis of employee turnover patterns, focusing on key factors like role, tenure, and department. The findings should provide insights for improving retention strategies.
NBI-3971;Default project templates;Improvement;Provide default templates for common project types, including predefined tasks, dependencies, and milestones. Users should be able to customize these templates to suit their workflows.
NBI-3985;Foreign key constraints not enforced;Bug;Foreign key constraints are occasionally not being enforced during data inserts, leading to orphaned records. This issue compromises database integrity and creates data inconsistencies. Ensuring proper enforcement of constraints is critical for relational stability.
NBI-4031;Webhook delivery logs missing failures;Bug;Failed webhook deliveries are not being recorded in the delivery logs, leaving developers unaware of missed updates. This issue is impacting integrations that rely on real-time notifications.
NBI-4131;Refined opportunity filtering;Improvement;Enhance filtering options in the opportunity view by allowing multi-criteria filters, such as stage, owner, and expected close date.
NBI-4171;Inventory Valuation Errors for Multi-Currency Orders;Bug;Inventory valuation calculations for multi-currency purchase orders are producing inconsistent results. The issue appears to involve incorrect application of exchange rates during valuation.
NBI-4241;Enhanced Warehouse Slotting Rules;New Feature;Develop a slotting rules feature to optimize warehouse item placement based on order frequency, size, or weight. Administrators should be able to simulate slotting arrangements before applying changes. Efficient placement reduces picking times and operational costs.
NBI-4318;Scheduled Maintenance: notifications do not trigger;Bug;Notifications for scheduled maintenance aren’t being sent, so technicians don’t know about their upcoming tasks. The issue likely started after we added support for custom notification templates in other modules, which seems to have affected the default notification setup for maintenance schedules. While the schedules are still being created correctly, the missing notifications are causing a lot of confusion and delays in task planning. This bug has a bigger impact on teams relying on recurring or time-sensitive maintenance tasks.
NBI-4335;Multi-region server health not updating;Bug;The server health dashboard in the admin panel is not updating data in real-time for servers in certain regions. This issue has been reported frequently for high-traffic environments. Ensuring accurate health metrics is critical for maintaining system stability.
NBI-4344;Shift conflicts not highlighted in scheduling;Bug;Summary: Conflicts between overlapping shifts are not flagged.  Steps to Reproduce:  1. Schedule two overlapping shifts for the same employee.  2. Save the schedule and review it for conflicts.  Actual Result: The system allows overlapping shifts without any warning.  Expected Result: A warning should notify users of conflicts when overlapping shifts are scheduled for the same employee.
NBI-4427;Family subscription plans;New Feature;Create a feature to allow family or group subscriptions under a single plan. The system should enable users to invite members, allocate benefits, and manage member permissions from their account.
NBI-4451;ticket downloads not generating properly;Bug;Users have reported that ticket downloads are occasionally failing or producing blank files. Investigating this issue will ensure reliable generation and download of event tickets.
NBI-4525;API for real-time data sync;New Feature;Build an API that enables real-time data synchronization for external systems. It should include options for delta sync to update only changed records. This will improve integration efficiency and reduce unnecessary data transfer.
NBI-4587;Enhanced notifications for purchase delays;Improvement;Update the notification system to alert users when purchase orders exceed their expected delivery dates. Notifications should include details about the delay and allow users to take corrective action, such as contacting the supplier.
NBI-4610;Error messages missing for failed syncs;Bug;Failed synchronization attempts for records do not display error messages, leaving users uncertain about the cause. The app should provide clear feedback on the reasons for sync failures and suggest resolutions. Resolving this improves transparency and troubleshooting.
NBI-4663;real-time sync for employee records with third-party tools;Improvement;Enhance integration with third-party tools like payroll and attendance systems to ensure real-time synchronization of employee data, including updates to names, roles, and salaries.
NBI-4668;Task filters by custom tags;Improvement;Introduce custom tags for tasks, allowing users to filter and organize their task lists based on project, priority, or type.
NBI-4686;Notification Preferences Reset After Updates;Bug;Updating the system software is resetting custom notification preferences for some users. Administrators have identified this issue as disruptive during maintenance periods. Fixing this ensures updates do not overwrite user-defined settings.
NBI-4726;Cross-platform collaboration tools;Epic;Consolidate tools and integrations that enable seamless collaboration between teams, including shared notes, real-time activity updates, and mentions.
NBI-4737;Multiple Notifications for the same task;Bug;Users are receiving duplicate notifications for task updates, leading to cluttered inboxes and unnecessary interruptions. The system should ensure that each task update triggers only one notification. This issue is causing confusion and needs immediate resolution.
NBI-4747;enhanced mobile app navigation;Improvement;Refactor the mobile app navigation to include shortcuts for frequently accessed modules and a customizable home screen. Users should also have quick access to notifications and search from any page. These updates simplify navigation for on-the-go users.
NBI-4760;Contact management enhancements;Improvement;Introduce features like contact tagging, bulk actions, and improved search filters to simplify contact management for users with large databases.
NBI-4910;Integration with Social Media Ads;New Feature;Provide integration with social media advertising platforms like Facebook Ads and LinkedIn Ads. This will allow marketing teams to sync campaign performance metrics directly into the CRM for better ROI analysis.
NBI-4956;Version Control for Documents;New Feature;Add version control to allow users to upload new versions of existing documents without replacing the original file. Each version should include timestamps and user details for tracking. Users should be able to revert to a previous version if needed.
NBI-4975;Mobile-friendly kpi widgets;New Feature;Introduce mobile-optimized widgets to display key performance indicators on smaller screens for better accessibility.
NBI-5115;Improved data backup mechanism;Improvement;Current data backups take too long for large databases. Optimize the backup process to ensure minimal disruption to active users while maintaining data integrity.
NBI-5123;improved notification management interface;Improvement;Redesign the notification settings interface to include grouping by categories and modules. Users should have a toggle option to enable or disable entire categories in one click. The system should provide clearer descriptions for each notification type.
NBI-5142;Error When Creating Recurring Tickets;Bug;Summary: Recurring tickets fail to generate as scheduled.  Steps to Reproduce:  1. Create a recurring ticket template in the Helpdesk module.  2. Set the recurrence interval to “Weekly.”  3. Wait for the scheduled recurrence and check the ticket list.  Actual Result: The recurring ticket is not generated as expected.  Expected Result: Recurring tickets should generate automatically according to the defined schedule.
NBI-5213;Scheduled backups not triggering;Bug;Scheduled backups are not being triggered at the specified times, leaving the system vulnerable to data loss. Logs do not indicate any reason for the failure. Addressing this issue is critical for maintaining data integrity.
NBI-5244;Faster page load times for activities;Improvement;Optimize the activity page for faster loading when users have extensive histories of tasks, calls, and meetings.
NBI-5336;Rate limiting errors during batch processing;Bug;Batch API requests are frequently encountering rate-limiting errors, even when adhering to documented thresholds. This disrupts the ability to handle large-scale data updates efficiently. Optimizing the rate-limiting logic will ensure smoother processing for high-volume use cases.
NBI-5360;Audit of subscription price adjustments;Investigation;Conduct an audit of price adjustments for subscriptions to verify that all adjustments were applied correctly. Focus on identifying discrepancies during transitions between billing cycles or changes in plan tiers.
NBI-5380;Custom Fields for Contacts;New Feature;Businesses need additional fields for customer data. We will allow users to create custom fields for contacts, ensuring they can store all necessary information specific to their business needs.
NBI-5427;Anonymous Feedback Option;New Feature;Develop an option to allow users to submit feedback anonymously. The system should ensure that no user-identifying information is stored or displayed for these submissions. Administrators should still be able to track the time and type of feedback submitted.
NBI-5472;Default time zone detection;Improvement;Add an option for users to enable automatic time zone detection based on their location. Administrators should be able to enforce time zones for specific roles or regions. The system should also allow manual overrides in individual user settings.
NBI-5480;Lead behavior notifications;New Feature;Implement notifications that alert users when leads perform key behaviors, like visiting the pricing page or opening multiple emails.
NBI-5485;configurable auto-logout timing;New Feature;Provide a setting to configure the auto-logout timing for inactive sessions. Users should have options to extend or reduce the default duration within security limits. Administrators should be able to enforce stricter timing policies for sensitive accounts.
NBI-5555;Bulk feedback status updates;Improvement;Introduce a bulk update feature that allows administrators to change the status of multiple feedback entries at once. The interface should include checkboxes for selecting entries and a dropdown for choosing the new status. Bulk updates streamline managing large volumes of feedback.
NBI-5586;Multi-channel Communication Tracking;New Feature;Customers frequently mentioned difficulties in tracking communication across email, phone, and chat channels. To resolve this, we are creating a unified interface that consolidates all interactions under each lead or opportunity. This ensures nothing is missed in the sales process.
NBI-5589;Faster document uploads;Improvement;Optimize the document upload process to handle larger files more efficiently, reducing the time required for completion. The upload interface should also include detailed progress tracking with file size and estimated time remaining.
NBI-5674;Opportunity creation from emails;New Feature;Allow users to create opportunities directly from email interactions. Automatically link the opportunity to the corresponding contact and log the email as an activity.
NBI-5691;Geo-Partitioned Indexes;New Feature;Introduce support for geo-partitioned indexes to optimize queries on location-based datasets. The system should allow administrators to define geographic regions and corresponding partitions. This will improve performance for location-centric applications.
NBI-5715;Opportunity Value Reset to Zero;Bug;Editing opportunity details occasionally resets the deal value field to zero, forcing users to re-enter the data. This has been reported during pipeline updates and causes workflow interruptions. A fix is required to maintain data accuracy in opportunities.
NBI-5775;Error when canceling registrations;Bug;Users reported errors when attempting to cancel registrations for attendees. This issue needs resolution to ensure the cancellation process functions smoothly without data loss.
NBI-5782;Feedback Module Documentation Update;Documentation;Update the feedback module’s user guide to include new features such as attachments, voting, and follow-up questions. The documentation should include screenshots and step-by-step instructions. Providing a clear guide helps users and administrators make full use of the module.
NBI-5787;Duplicate records in stock movement reports;Bug;Stock movement reports are showing duplicate records for certain transfers, leading to inflated movement totals. The issue appears to occur when transfers involve split shipments.
NBI-5797;Integration with linkedin for job applications;New Feature;Add an integration with LinkedIn to allow candidates to apply directly through their LinkedIn profiles. The system should pull relevant data from LinkedIn into the candidate’s profile within the recruitment system for faster evaluation.
NBI-5866;Bulk status update for opportunities;Improvement;Add a feature to allow bulk updating of opportunity statuses directly from the pipeline view.
NBI-5866;Integration with Accounting Software;New Feature;Provide integration with popular accounting platforms (e.g., QuickBooks, Xero) to sync financial data, such as invoices and payments, with CRM opportunities.
NBI-5898;Bulk Email Personalization;Improvement;Enable personalization options for bulk email campaigns, such as dynamically inserting customer names, company details, or specific opportunity data.
NBI-5923;API timeout errors for bulk imports;Bug;API requests for bulk lead imports are timing out, especially when handling large datasets, preventing seamless integrations.
NBI-5926;Enhanced Task Management UI;Improvement;Revise the task management interface to include drag-and-drop task prioritization and improved filtering options.
NBI-5960;Customizable dashboard widgets;New Feature;Allow users to create and customize dashboard widgets to display metrics, charts, and lists tailored to their preferences and roles.
NBI-5988;Ip Whitelisting and Blacklisting Tool;New Feature;Develop an interface for managing IP whitelisting and blacklisting to restrict system access based on location. Administrators should be able to configure rules for specific roles or modules. Better IP controls enhance security for sensitive operations.
NBI-6092;Pipeline Sorting Issue;Bug;Users noted that sorting opportunities by custom fields in the pipeline view was inconsistent. The sorting algorithm failed to account for certain field types, causing errors. Fixing this ensures opportunities appear in the correct order based on user preferences.
NBI-6116;Token expirations issue;Bug;User tokens are expiring before the configured timeout period, requiring users to log in multiple times during a single work session.
NBI-6142;Configurable login redirection rules;New Feature;Provide a setting for users to configure where they are redirected after logging in, such as a specific module or custom dashboard. Administrators should also have options to enforce default redirection rules for certain roles. The preferences should allow individual overrides.
NBI-6206;Auto-Generated Meeting Summaries;New Feature;Build an AI-powered tool to generate meeting summaries from logged activities or integrated meeting tools, saving time for sales teams.
NBI-6221;Streamlined upgrade/downgrade workflow;Improvement;Simplify the workflow for customers upgrading or downgrading their subscriptions. The system should display clear cost differences, prorated charges, and feature changes before confirming the update.
NBI-6252;Stock Transfers Stuck in Pending Status;Bug;Stock transfers are remaining in a pending status even after the transfer is completed. This issue is preventing inventory levels from updating in the destination warehouse.
